Interval,OvrFd Off,In Abnd,In Ans,In,Out Ans,Out,Max Wait (Seconds Value),Avg Wait (Seconds Value),Avg In Ans (Seconds Value),Avg Abnd (Seconds Value),% Svc (Other Value),Avg Rng (Out) (Seconds Value),Tot Tlk (Seconds Value),Avg Tlk (Seconds Value),Adv,Att Ret Abnd,Avg Answer (Other Value),Abnd After EM,Abnd Before EM,End On-Hold,Esc,Esc To,In Abnd Unique,Max Concr,Out Fail,OvrFd In,All Ans,All,UnMon,Unsuc Ret Abnd,Ans <= 15s,Abnd <= 60s,Avg Call (Seconds Value),Avg Held (Seconds Value),Avg Rng (In/Out) (Seconds Value),Max Call (Seconds Value),Max Held (Seconds Value),Max Talk (Seconds Value),Tot Call (Seconds Value),Tot Held (Seconds Value),Tot Rng (Seconds Value),Alerting (Seconds Value),Available (Seconds Value),Busy (Seconds Value),Handling (Seconds Value),N/A (Seconds Value)
02/01/2026 (01:00:00 - 01:59:59),0,2,32,34,4,4,40.90331634304702,12.624211577334307,0,0,100,0,8049.411368925776,251.5441052789305,0,0,0,0,0,0,0,0,0,0,0,0,36,38,0,0,17,2,0,0,0,765.2913834473634,71.76614340192697,687.3008248289323,8907.797156775032,659.2045009211207,224.07894779415153,154.9493667223893,265215.6196041145,9062.746523,8907.797156775032,13721.63387
02/01/2026 (02:00:00 - 02:59:59),0,1,42,43,5,5,10.378063772772805,2,0,0,100,0,10135.944636781081,241.33201516145434,0,0,0,0,0,0,0,0,0,0,0,0,47,48,0,0,35,1,0,0,0,602.2470978,72.71622961,522.3954610140347,11544.183777431559,1108.5520382376374,335.36413841436837,169.59133526346542,257692.6641126668,11713.775112695024,11544.183777431559,18593.560774638197
02/01/2026 (03:00:00 - 03:59:59),0,2,32,34,3,5,25.75884238338792,7.201396646,0,0,100,0,6734.468319471024,210.4521349834695,0,0,0,0,0,0,0,0,0,0,2,0,35,39,0,0,28,1,0,0,0,898.3207643619785,103.69594256434301,787.5791244945879,7963.621428706686,1003.6907955381374,246.59940560666686,154.45074002855426,258320.57393763558,8118.072169,7963.621428706686,21561.353893629162
02/01/2026 (04:00:00 - 04:59:59),0,1,34,35,4,5,32.07765382810016,9.764280731960318,0,0,100,0,6724.766194,197.7872410088153,0,0,0,0,0,0,0,0,0,0,1,0,38,40,0,0,24,1,0,0,0,688.2486777936398,38.992479934144875,640.4172091821883,7608.364145546362,583.0723362182176,335.8815697376515,197.51985720791947,262760.30109169264,7805.884002754282,7608.364145546362,17433.814905553056
02/01/2026 (05:00:00 - 05:59:59),0,2,50,52,9,11,52.34787071993894,11.630937061977546,0,0,100,0,13672.146932795207,273.44293865590413,0,0,0,0,0,0,0,0,0,0,2,0,59,63,0,0,37,2,0,0,0,946.4015563672214,90.08109041588234,851.5757817484732,15645.841592207526,1736.4604492690307,279.93636796907856,169.43619444085024,257810.56072735376,15815.277786648376,15645.841592207526,14374.161485997884
02/01/2026 (06:00:00 - 06:59:59),0,6,66,72,11,11,31.063781549167505,5.918060387637764,0,0,100,0,5763.238166787993,87.32179040587867,0,0,0,0,0,0,0,0,0,0,0,0,77,83,0,0,59,6,0,0,0,302.7921208078819,74.43106358,223.38088558196827,8516.709850572974,2424.780354895945,383.47321703721076,375.5944920916555,263118.1014330408,8892.304342664629,8516.709850572974,15989.594224294618
02/01/2026 (07:00:00 - 07:59:59),0,0,67,67,7,8,42.439816143400165,11.818723475325122,0,0,100,0,8538.356806511372,127.4381612912145,0,0,0,0,0,0,0,0,0,0,1,0,74,75,0,0,41,0,0,0,0,611.7818975697822,211.01490152390235,390.3771224420414,12075.06689432351,2840.5885563549573,768.8506466840522,331.9107686469609,253155.56520075368,12406.977662970472,12075.06689432351,22437.457136275843
02/01/2026 (08:00:00 - 08:59:59),0,8,131,139,27,29,33.70472657263669,10.129289814879904,0,0,100,0,39199.21183,299.23062464505034,0,0,0,0,0,0,0,0,0,0,2,0,158,168,0,0,84,6,0,0,0,745.0694845888814,76.80684133837458,653.5806814251592,43247.24609568858,2124.697268066448,2319.7499684049135,555.9603528210948,231270.01096886728,43803.20644850967,43247.24609568858,12926.782582623035
02/01/2026 (09:00:00 - 09:59:59),0,16,157,173,26,29,80.59897102525974,15.32432227624431,0,0,100,0,38589.39598253917,245.7923310989756,0,0,0,0,0,0,0,0,0,0,3,0,183,202,0,0,84,10,0,0,0,911.6170421880295,53.490804555216435,841.5179279905965,43892.95787379464,2696.057277427476,3039.3206645256273,581.0823228192294,222262.9352430021,44474.040196613874,43892.95787379464,21263.024560384027
02/01/2026 (10:00:00 - 10:59:59),0,13,156,169,24,26,91.48123965,16.423190879918657,0,0,100,0,34182.303938660945,219.11733294013428,0,0,0,0,0,0,0,0,0,0,2,0,180,195,0,0,94,9,0,0,0,1040.4301894384826,174.57373013131198,860.6344106,42469.17163035183,7472.228097408001,939.9687626,881.3861875965024,231869.22203440248,43350.557817948335,42469.17163035183,12780.220147649186
02/01/2026 (11:00:00 - 11:59:59),0,25,203,228,39,43,179.4992370990572,31.203539687818832,0,0,100,0,39783.558100529815,195.97811872182174,0,0,0,0,0,0,0,0,0,0,4,0,242,271,0,0,73,20,0,0,0,694.0793119132389,125.83854951753537,563.3215157631072,45965.22295717816,5183.057790231284,1190.4576850883088,962.5567251732269,226323.73860729663,46927.779682351385,45965.22295717816,14748.481710351974
02/01/2026 (12:00:00 - 12:59:59),0,25,249,274,48,53,183.01285151201543,36.226019482353045,0,0,100,0,40601.27111778286,163.05731372603557,0,0,0,0,0,0,0,0,0,0,5,0,297,327,0,0,75,18,0,0,0,681.5998393388796,66.86286644429963,608.9090053280382,46072.941679563926,4020.506637712143,1730.9063672629352,787.9982968,228000.99819163576,46860.93997635069,46072.941679563926,13138.061832013527
02/01/2026 (13:00:00 - 13:59:59),0,39,245,284,42,47,150.93621477578918,46.06489805629541,0,0,100,0,43919.72780241066,179.26419511188027,0,0,0,0,0,0,0,0,0,0,5,0,287,331,0,0,56,29,0,0,0,636.2941540340705,67.33286701658756,563.9918291056781,49740.12026201378,4602.875271210926,1426.2344206879918,1014.5239071987506,220630.16824337217,50754.64416921253,49740.12026201378,16615.18758741529
02/01/2026 (14:00:00 - 14:59:59),0,23,209,232,32,39,86.24846121833873,25.661127005395443,0,0,100,0,48124.420558348414,230.26038544664314,0,0,0,0,0,0,0,0,0,0,7,0,241,271,0,0,88,19,0,0,0,915.9517206676517,121.52473981454699,785.2379446703198,55547.35271393711,5502.4235933866885,2214.5577200511234,711.4310933,210106.34097074563,56258.783807276144,55547.35271393711,21634.87522197822
02/01/2026 (15:00:00 - 15:59:59),0,17,187,204,31,33,105.39587311940164,20.007540756536333,0,0,100,0,43195.474783526886,230.99184376217585,0,0,0,0,0,0,0,0,0,0,2,0,218,237,0,0,71,13,0,0,0,925.8928397241482,49.14645609366508,872.7667601233892,47227.716206008015,3288.0518266545623,867.5579245464829,657.6469144,229916.95021207398,47885.36312044736,47227.716206008015,10197.686667478667
02/01/2026 (16:00:00 - 16:59:59),0,18,169,187,28,35,90.23706268787683,20.312233217605073,0,0,100,0,42026.62079088113,248.6782295,0,0,0,0,0,0,0,0,0,0,7,0,197,222,0,0,84,17,0,0,0,821.7925157431474,28.96148730236606,787.2034838580893,44999.35904188367,2021.683216527582,1108.626282790329,913.7242148066833,232285.94301191551,45913.08325669035,44999.35904188367,9800.973731394133
02/01/2026 (17:00:00 - 17:59:59),0,8,137,145,29,33,57.004738440495544,13.189786118164502,0,0,100,0,78535.09374200103,573.2488594306644,0,0,0,0,0,0,0,0,0,0,4,0,166,178,0,0,86,5,0,0,0,1579.4434833831342,57.83491590419431,1511.5866968907164,82707.70146631378,2799.611453726144,1663.630517645094,750.9359603649169,184977.98767951562,83458.63743,82707.70146631378,19563.37489380567
02/01/2026 (18:00:00 - 18:59:59),0,5,99,104,22,23,61.563206154608906,15.607502731536078,0,0,100,0,20361.565338016913,205.6723772,0,0,0,0,0,0,0,0,0,0,1,0,121,127,0,0,61,3,0,0,0,785.1130506456271,29.917668143396174,746.6710771628535,22190.26304695567,984.7914803403942,1031.4409460646696,348.3043574002428,245844.35610316187,22538.567404355916,22190.26304695567,19617.076492482218
02/01/2026 (19:00:00 - 19:59:59),0,8,108,116,17,17,43.09884509,7.345717749381404,0,0,100,0,29484.809220409312,273.0074927815677,0,0,0,0,0,0,0,0,0,0,0,0,125,133,0,0,81,7,0,0,0,1106.3180311710648,42.75693794638324,1056.587967399399,31874.721273737883,1636.8144641980698,871.6407281603034,549.6889139035014,245046.7369871675,32424.410187641384,31874.721273737883,10528.852825191096
02/01/2026 (20:00:00 - 20:59:59),0,3,60,63,20,21,29.645878884548374,4.959482943287602,0,0,100,0,15716.144973431272,261.9357495571879,0,0,0,0,0,0,0,0,0,0,1,0,80,84,0,0,47,2,0,0,0,967.2316621875062,73.36207333877827,885.2173036429953,17852.39751332466,1617.1154275494275,692.1828164586169,275.5444051208227,249034.7505945177,18127.941918445482,17852.39751332466,20837.30748703684
02/01/2026 (21:00:00 - 21:59:59),0,6,69,75,8,9,43.24999539958978,8.954072944382613,0,0,100,0,14088.63316803276,204.18308939177913,0,0,0,0,0,0,0,0,0,0,1,0,77,84,0,0,50,5,0,0,0,599.7640327528561,109.61760472404077,482.78153865022733,16183.211433321752,1586.4008981664156,567.0964821512811,389.62026876890263,261792.18804878843,16572.831702090654,16183.211433321752,9634.980249120896
02/01/2026 (22:00:00 - 22:59:59),0,3,44,47,8,8,21.14613165644699,3.703092900459258,0,0,100,0,16851.232380172067,382.9825540948197,0,0,0,0,0,0,0,0,0,0,0,0,52,55,0,0,39,3,0,0,0,1381.229642211442,212.85012871273207,1162.34419,19151.76887134746,2034.9822501749925,313.8368302731969,221.25129137312416,258059.7391195525,19373.020162720582,19151.76887134746,10567.240717726916
02/01/2026 (23:00:00 - 23:59:59),0,2,30,32,8,8,27.91010744169192,9.09798133,0,0,100,0,6899.140916225277,229.9713638741759,0,0,0,0,0,0,0,0,0,0,0,0,38,40,0,0,21,2,0,0,0,922.0732968251124,58.805626927157206,857.7190576861333,7659.217293076837,593.6180104969029,210.84726404923327,103.96776246793056,259000.69527416193,7763.185055544768,7659.217293076837,21236.11967029329
03/01/2026 (00:00:00 - 00:59:59),0,0,21,21,11,12,17.88852615598871,3.6941557880875786,0,0,100,0,7956.551161964913,378.8833886649959,0,0,0,0,0,0,0,0,0,0,1,0,32,33,0,0,19,0,0,0,0,1636.3784856162788,123.84460139901472,1504.130430850827,9372.648693120957,1239.625010460864,268.9105077259871,106.83647359691417,267532.0649857589,9479.485167,9372.648693120957,10988.449847523214
03/01/2026 (01:00:00 - 01:59:59),0,0,19,19,6,7,19.973331475894263,4.831341502198724,0,0,100,0,5227.245532,275.1181859157032,0,0,0,0,0,0,0,0,0,0,1,0,25,26,0,0,15,0,0,0,0,861.8614698845239,58.45792516858366,797.8582861075902,5605.378665938474,272.77321998146175,138.63146520875233,93.74717465754124,269987.02484888304,5699.125840596015,5605.378665938474,12313.849310520909
03/01/2026 (02:00:00 - 02:59:59),0,4,22,26,7,7,24.008110756248243,6.004464734623251,0,0,100,0,9630.159310210676,437.7345141004853,0,0,0,0,0,0,0,0,0,0,0,0,29,33,0,0,16,2,0,0,0,1107.8266849231889,61.870469266318345,1042.0990347871677,10000.800980795384,285.78369145124867,111.85824522137816,97.74711442494585,262711.20451477275,10098.54809522033,10000.800980795384,15190.247390006922
03/01/2026 (03:00:00 - 03:59:59),0,0,15,15,7,7,20.87253176325611,5.651238027581769,0,0,100,0,1986.0407660953583,132.40271773969056,0,0,0,0,0,0,0,0,0,0,0,0,22,22,0,0,12,0,0,0,0,549.0639817,90.80121884432647,453.53754376389844,2426.309410292229,369.39035756996964,103.95482038612161,84.80999361315978,266289.63335598336,2511.119403905389,2426.309410292229,19199.24724011124
03/01/2026 (04:00:00 - 04:59:59),0,0,19,19,6,6,19.410622532138547,4.939163763675719,0,0,100,0,3925.8606616047477,206.6242453476183,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,17,0,0,0,0,601.4155773688785,70.55305191261613,522.8677229796798,4372.321156158539,294.55924749872133,199.87006191456572,60.77770245,267351.1544443971,4433.098858607074,4372.321156158539,16215.746696995868
03/01/2026 (05:00:00 - 05:59:59),0,1,30,31,9,11,38.48624270421964,8.047516530826421,0,0,100,0,4242.000663613788,141.4000221204596,0,0,0,0,0,0,0,0,0,0,2,0,39,42,0,0,19,0,0,0,0,518.8382486385975,49.970048006425074,462.06670744719827,5170.763722060231,724.7182628972173,265.2582342139931,153.59288119328238,273870.1536177661,5324.356603253514,5170.763722060231,8805.489778980358
03/01/2026 (06:00:00 - 06:59:59),0,0,43,43,9,12,8.879165246918868,2.267859961184495,0,0,100,0,17072.826372794414,397.04247378591657,0,0,0,0,0,0,0,0,0,0,3,0,52,55,0,0,42,0,0,0,0,1447.0767652037052,63.18446286042619,1374.025298030129,18167.285363336065,670.1778050762115,513.0842242837884,200.88211437463096,256818.79904611025,18368.167477710696,18167.285363336065,12813.033476179073
03/01/2026 (07:00:00 - 07:59:59),0,2,42,44,13,14,21.154378056383475,4.859614634274343,0,0,100,0,9145.402484940792,217.7476782,0,0,0,0,0,0,0,0,0,0,1,0,55,58,0,0,36,1,0,0,0,672.5589018204331,63.89091361238818,603.0631534739696,10265.093894729165,884.2883509572102,308.2659103741424,248.40532818684832,256413.47130840688,10513.499222916014,10265.093894729165,21073.02947
03/01/2026 (08:00:00 - 08:59:59),0,9,70,79,13,16,31.619589180131864,8.904333270155572,0,0,100,0,16459.863116039458,235.14090165770654,0,0,0,0,0,0,0,0,0,0,3,0,83,95,0,0,58,9,0,0,0,977.7888688381433,127.95392286945429,841.1073834,19082.84393870667,2012.0514411785618,724.3876951936827,410.05194576851056,254766.63959741776,19492.89588447518,19082.84393870667,13740.464518107048
03/01/2026 (09:00:00 - 09:59:59),0,4,80,84,26,31,31.528155161992327,5.553231292612275,0,0,100,0,14944.951233978278,186.81189042472846,0,0,0,0,0,0,0,0,0,0,5,0,106,115,0,0,72,2,0,0,0,544.6562311,48.353758332718336,489.98732586716915,16744.20309898371,1294.0401138476352,669.4055703,470.28408301309156,259681.6810131511,17214.487181996803,16744.20309898371,11103.831804852089
03/01/2026 (10:00:00 - 10:59:59),0,6,111,117,34,36,42.35138585102292,13.100166519749273,0,0,100,0,21979.644837306158,198.01481835410954,0,0,0,0,0,0,0,0,0,0,2,0,145,153,0,0,67,4,0,0,0,681.9136286182186,129.60683923606206,546.4798522080166,25818.34371913003,3191.9088554943487,844.9058902502763,653.3972259268154,239711.8531899428,26471.740945056845,25818.34371913003,21816.405865000346
03/01/2026 (11:00:00 - 11:59:59),0,9,139,148,42,45,78.88954788595898,14.441289600392292,0,0,100,0,20435.315734629385,147.01665996136248,0,0,0,0,0,0,0,0,0,0,3,0,181,193,0,0,81,8,0,0,0,582.5648974435015,153.89523223435918,423.52056677156577,26316.810507303016,5165.770089850492,931.9868172013583,800.3546344,240279.33363527316,27117.165141691603,26316.810507303016,20603.501223035255
03/01/2026 (12:00:00 - 12:59:59),0,12,147,159,41,47,87.03665509486326,16.897112078119378,0,0,100,0,21146.859423205155,143.8561866,0,0,0,0,0,0,0,0,0,0,6,0,188,206,0,0,83,10,0,0,0,810.6207466342798,281.50519680626155,521.2000689180417,31138.10183211272,8827.666715141007,1488.1104110755998,569.4866209864751,234043.95885332816,31707.588453099193,31138.10183211272,22248.452693572657
03/01/2026 (13:00:00 - 13:59:59),0,17,134,151,50,53,81.80506048715966,13.960444263453274,0,0,100,0,37885.81177283688,282.72993860326034,0,0,0,0,0,0,0,0,0,0,3,0,184,204,0,0,84,13,0,0,0,827.8878295243838,183.23138613280327,635.9624927441137,45196.214120658486,6145.412961061017,1599.6869191339297,730.4280580190409,230040.8334869815,45926.642178677524,45196.214120658486,12032.524334340991
03/01/2026 (14:00:00 - 14:59:59),0,12,139,151,44,52,54.61245901881611,11.27932468044072,0,0,100,0,30654.69473465264,220.53737219174562,0,0,0,0,0,0,0,0,0,0,8,0,183,203,0,0,100,10,0,0,0,552.2890827221502,64.18828131281998,479.88673964385725,35867.71356165503,4071.264242,1503.1733030815567,513.6953300554106,234818.26887348204,36381.40889171044,35867.71356165503,16800.322234807496
03/01/2026 (15:00:00 - 15:59:59),0,7,109,116,27,32,31.90426373215221,8.373273541,0,0,100,0,38998.65888820994,357.7858613597242,0,0,0,0,0,0,0,0,0,0,5,0,136,148,0,0,82,6,0,0,0,1257.5907144648481,74.11796661479096,1176.5776303609136,42952.0047,3201.778009,937.7359785235129,587.3317523404216,226862.08807708966,43539.33645604502,42952.0047,17598.57546686532
